#,catalog,Name,Price
69915,КОМПЬЮТЕРНАЯ ТЕХНИКА,Термопаста Natec Thermal grease  HUSKY 0.5g. (NPT-1580),15
68801,КОМПЬЮТЕРНАЯ ТЕХНИКА,"MOUSE PAD MP-S-G  (резиновая основа/ткань,220x180x3мм, серый)",15
68474,КОМПЬЮТЕРНАЯ ТЕХНИКА,"MOUSE PAD MP-S-BK (коврик д/опт. мыши, SBR rubber, 220*180мм) black",15
56327,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель интерфейсный-шлейф SATA III,7pin/7pin (CC-SATAM-DATA-0.3M) 30см",15
36492,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель USB (A-OTG-AFBM-002) для OTG устройств,AF-Mini BM, 0.15 м",15
17864,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Удлинитель (3.5MM PLUG)-(3.5MM SOCKET), 1.5м, CCA-423",15
1944,КОМПЬЮТЕРНАЯ ТЕХНИКА,Портмоне для CD на 24шт. CW-B24,15
22573,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель аудио (3.5mm Stereo Plug/2 Phono Plug), 1.5м, CCA-458","15,7"
17875,КОМПЬЮТЕРНАЯ ТЕХНИКА,Адаптер CCV-521 (конвертир. S-video сингал SVHS в RCA сигнал),"15,7"
32339,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Калькулятор брелок Canon KC-30 PP CANON 8р с логотип. ЕВРО-2012,фиолет","15,8"
32338,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Калькулятор брелок Canon KC-30 BK CANON 8р с логотипом ЕВРО-2012,черн.","15,8"
32340,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Калькулятор брелок Canon KC-30 WH CANON 8р с логотип. ЕВРО-2012, белый","15,8"
62967,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Разветвитель (CCA-415-0.1M) 3.5mm STEREO PLUG -> 2*3.5mm STEREO SOCKET, 10cm, black",16
45822,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель ETHERNET UTP КПВ-ВП (16) CAT.3 (10*2*0,50) 24 AWG PVC  (1м)","16,3"
23259,КОМПЬЮТЕРНАЯ ТЕХНИКА,Разъем-планка eSATA-port 2x  (CCSATA2RECEPTACLE),"16,3"
19862,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель USB2.0 (A/miniB 8pin) 1,8м CC-USB2-AM8P-6","16,3"
19855,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель интерфейсный-шлейфSATA,ext(eSATA/eSATA ,1м) CC-ESATA-DATA-XL","16,3"
16248,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Переходник кулера с К7 на К8, Titan, DataCooler","16,3"
74337,КОМПЬЮТЕРНАЯ ТЕХНИКА,Спрей Patron для автомобилей стекло/пластик/резина 250мл. F3-006,"16,5"
65803,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Элемент питания Gembird (EG-BA-23A-01) Super ALKALINE, тип 23A, 12В (2шт/блистер)","16,5"
62984,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Элемент питания 27A 12V Gembird (EG-BA-27A-01) alkaline, 2шт/уп.","16,5"
28285,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD 6P4C, телефонный TC6P4C-3M  (3M)","16,5"
11187,КОМПЬЮТЕРНАЯ ТЕХНИКА,Адаптер A-239  PS/2 -->2*PS/2  (MD6M/2*MD6F),"16,5"
83142,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Удлинитель USB 2.0 SVEN 1.8м,  Am-Af, 480Мб/сек                        (SV-004569)",17
56324,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель интерфейсный-шлейф SATA III,7pin/7pin (CC-SATAM-DATA) 50см.",17
49801,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Удлинитель (3.5MM PLUG)-(3.5MM SOCKET), 2м, CCA-423-2M",17
26687,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,2м. (PP12-2M/R) красный","17,5"
43592,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,2м. (PP12-2M/G) green","17,5"
51361,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,2м. (PP12-2M/V) violet","17,5"
33439,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,2м. (PP12-2M/O) оранжевый","17,5"
21763,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,2м. (PP12-2M/Y) желтый","17,5"
18673,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,2м. (PP12-2M/BK) черн.","17,5"
15465,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E, 2м. (PP12-2M/B) синий","17,5"
1415,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,2м. (PP12-2M)","17,5"
79226,КОМПЬЮТЕРНАЯ ТЕХНИКА,Адаптер (переходник) АУДИО (A-3.5F-2.5M) 2.5 mm (male) <-> 3.5 mm (F) (female),18
74037,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель интерфейсный SATA III/6Gb/s Lanberg (CA-SASA-14CU-0030-R) 7pin/7pin F/F, 30см, red",18
59125,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Элемент питания (LR6) AA 1,5V Gembird Super Alkaline (EG-BA-AA4-01) 4шт./уп",18
59126,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Элемент питания (LR3) AAA 1,5V Gembird Super Alkaline (EG-BA-AAA4-01) 4шт./уп",18
51402,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель аудио (3.5mm Stereo Plug/3.5mm Stereo Plug), 2м, CCA-404-2M",18
48333,КОМПЬЮТЕРНАЯ ТЕХНИКА,Кабель USB2.0 (A/microB 5pin) 1м. (CCP-mUSB2-AMBM-1M ),18
48327,КОМПЬЮТЕРНАЯ ТЕХНИКА,Разветвитель CCA-417W 3.5mm/4pin STEREO male->2x3.5mm STEREO fem. WHT,18
